VS,VD,CD,TYP,IDX,APD
32,2048,0,0,-1,2048
32,2048,0,0,-1,4096
32,4096,0,0,-1,1024
32,1024,0,0,-1,3072
2048,4096,32,10,-2,-3
2048,4096,32,10,-3,-4
2048,1024,32,10,-3,-5
32,2048,4096,10,-5,-3
32,2048,4096,10,-6,-3
32,2048,1024,10,-6,-3
32,4096,2048,10,-10,-5
32,4096,2048,10,-11,-6
32,1024,2048,10,-12,-6
3072,4096,32,10,-10,-12
3072,32,4096,10,-1,-3
32,3072,0,0,-1,1024
32,1024,0,12,-1,0
