M,N,K,TYP,ACT,IDX1,IDX2
4,3,,10,1,0,0
3,2,,10,1,-1,0
8,4,,10,1,-1,0
4,2,,10,1,-1,0
2,1,,10,0,-1,0
1,,,-2,0,-1,
